Ctyname,Stname,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018
Autauga County,Alabama,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Baldwin County,Alabama,1,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0
Barbour County,Alabama,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bibb County,Alabama,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Blount County,Alabama,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Bullock County,Alabama,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Butler County,Alabama,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Calhoun County,Alabama,1,15,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0
Chambers County,Alabama,1,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
Cherokee County,Alabama,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilton County,Alabama,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Choctaw County,Alabama,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clarke County,Alabama,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,Alabama,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Cleburne County,Alabama,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coffee County,Alabama,1,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Colbert County,Alabama,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Conecuh County,Alabama,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
