,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,131704730,131705135,131825383,132312816,132834047,133538615,134388318,135285123,136286436,137366902,138516439,139684244
".Autauga County, Alabama",22135,22143,22172,22347,22463,22826,22950,23085,23256,23463,23694,23896
".Baldwin County, Alabama",104061,104061,104289,104915,105640,106750,108018,109331,111466,113982,116432,119412
".Barbour County, Alabama",11829,11827,11831,11843,11908,11913,11923,11939,11966,12006,12051,12080
".Bibb County, Alabama",8981,8982,8988,8993,9018,9042,9070,9101,9129,9175,9225,9261
".Blount County, Alabama",23887,23888,23902,23935,23983,24021,24056,24101,24206,24317,24440,24517
".Bullock County, Alabama",4493,4492,4494,4499,4506,4511,4516,4523,4534,4553,4574,4587
".Butler County, Alabama",9964,9961,9964,9971,9992,10004,10013,10024,10042,10081,10121,10147
".Calhoun County, Alabama",53289,53259,53298,53249,53316,53351,53380,53456,53508,53621,53732,53796
".Chambers County, Alabama",17004,16993,16993,16988,16979,16972,16962,16959,16958,16981,16997,17009
".Cherokee County, Alabama",16267,16266,16275,16283,16362,16390,16420,16450,16496,16571,16660,16715
".Chilton County, Alabama",19278,19270,19283,19327,19378,19419,19465,19575,19645,19757,19901,20056
".Choctaw County, Alabama",7269,7268,7272,7256,7270,7280,7291,7303,7322,7355,7391,7413
".Clarke County, Alabama",12638,12638,12642,12646,12661,12673,12693,12713,12735,12777,12828,12857
".Clay County, Alabama",6776,6775,6776,6778,6781,6781,6783,6785,6791,6805,6822,6833
".Cleburne County, Alabama",6718,6718,6723,6739,6754,6763,6774,6787,6805,6836,6869,6891
".Coffee County, Alabama",22330,22333,22373,22596,22806,22887,22962,23015,23075,23162,23288,23403
".Colbert County, Alabama",25758,25758,25777,25840,25947,26084,26228,26345,26447,26577,26723,26861
".Conecuh County, Alabama",7093,7095,7098,7104,7114,7119,7126,7137,7154,7180,7208,7223
".Coosa County, Alabama",6478,6487,6490,6497,6510,6517,6527,6538,6555,6583,6615,6635
