FIPSCode,State,County,County_Status,Data_Source
01001,AL,Autauga County,No records,CDC ArboNET Tick Module historical data
01003,AL,Baldwin County,No records,CDC ArboNET Tick Module historical data
01005,AL,Barbour County,No records,CDC ArboNET Tick Module historical data
01007,AL,Bibb County,No records,CDC ArboNET Tick Module historical data
01009,AL,Blount County,No records,CDC ArboNET Tick Module historical data
01011,AL,Bullock County,No records,CDC ArboNET Tick Module historical data
01013,AL,Butler County,No records,CDC ArboNET Tick Module historical data
01015,AL,Calhoun County,No records,CDC ArboNET Tick Module historical data
01017,AL,Chambers County,No records,CDC ArboNET Tick Module historical data
01019,AL,Cherokee County,No records,CDC ArboNET Tick Module historical data
01021,AL,Chilton County,No records,CDC ArboNET Tick Module historical data
01023,AL,Choctaw County,No records,CDC ArboNET Tick Module historical data
01025,AL,Clarke County,No records,CDC ArboNET Tick Module historical data
01027,AL,Clay County,No records,CDC ArboNET Tick Module historical data
01029,AL,Cleburne County,No records,CDC ArboNET Tick Module historical data
01031,AL,Coffee County,No records,CDC ArboNET Tick Module historical data
01033,AL,Colbert County,No records,CDC ArboNET Tick Module historical data
01035,AL,Conecuh County,No records,CDC ArboNET Tick Module historical data
01037,AL,Coosa County,No records,CDC ArboNET Tick Module historical data
01039,AL,Covington County,No records,CDC ArboNET Tick Module historical data
01041,AL,Crenshaw County,No records,CDC ArboNET Tick Module historical data
01043,AL,Cullman County,No records,CDC ArboNET Tick Module historical data
01045,AL,Dale County,No records,CDC ArboNET Tick Module historical data
01047,AL,Dallas County,No records,CDC ArboNET Tick Module historical data
01049,AL,DeKalb County,No records,CDC ArboNET Tick Module historical data
01051,AL,Elmore County,No records,CDC ArboNET Tick Module historical data
01053,AL,Escambia County,No records,CDC ArboNET Tick Module historical data
01055,AL,Etowah County,No records,CDC ArboNET Tick Module historical data
01057,AL,Fayette County,No records,CDC ArboNET Tick Module historical data
01059,AL,Franklin County,No records,CDC ArboNET Tick Module historical data
01061,AL,Geneva County,No records,CDC ArboNET Tick Module historical data
01063,AL,Greene County,No records,CDC ArboNET Tick Module historical data
01065,AL,Hale County,No records,CDC ArboNET Tick Module historical data
01067,AL,Henry County,No records,CDC ArboNET Tick Module historical data
01069,AL,Houston County,No records,CDC ArboNET Tick Module historical data
01071,AL,Jackson County,No records,CDC ArboNET Tick Module historical data
01073,AL,Jefferson County,No records,CDC ArboNET Tick Module historical data
01075,AL,Lamar County,No records,CDC ArboNET Tick Module historical data
01077,AL,Lauderdale County,No records,CDC ArboNET Tick Module historical data
01079,AL,Lawrence County,No records,CDC ArboNET Tick Module historical data
01081,AL,Lee County,No records,CDC ArboNET Tick Module historical data
01083,AL,Limestone County,No records,CDC ArboNET Tick Module historical data
