FIPSCode,State,County,County_Status,Data_Source
01001,AL,Autauga County,Established,CDC ArboNET Tick Module historic data
01003,AL,Baldwin County,Established,CDC ArboNET Tick Module 2016 submission
01005,AL,Barbour County,Established,CDC ArboNET Tick Module historic data
01007,AL,Bibb County,Established,CDC ArboNET Tick Module historic data
01009,AL,Blount County,No records,CDC ArboNET Tick Module historic data
01011,AL,Bullock County,Established,CDC ArboNET Tick Module historic data
01013,AL,Butler County,Established,CDC ArboNET Tick Module historic data
01015,AL,Calhoun County,No records,CDC ArboNET Tick Module historic data
01017,AL,Chambers County,Established,CDC ArboNET Tick Module historic data
01019,AL,Cherokee County,No records,CDC ArboNET Tick Module historic data
01021,AL,Chilton County,Reported,CDC ArboNET Tick Module historic data
01023,AL,Choctaw County,Established,CDC ArboNET Tick Module historic data
01025,AL,Clarke County,Established,CDC ArboNET Tick Module historic data
01027,AL,Clay County,Reported,CDC ArboNET Tick Module historic data
01029,AL,Cleburne County,Reported,CDC ArboNET Tick Module historic data
01031,AL,Coffee County,Reported,CDC ArboNET Tick Module historic data
01033,AL,Colbert County,Established,CDC ArboNET Tick Module historic data
01035,AL,Conecuh County,Established,CDC ArboNET Tick Module historic data
01037,AL,Coosa County,Established,CDC ArboNET Tick Module historic data
01039,AL,Covington County,Established,CDC ArboNET Tick Module historic data
01041,AL,Crenshaw County,Reported,CDC ArboNET Tick Module historic data
01043,AL,Cullman County,No records,CDC ArboNET Tick Module historic data
01045,AL,Dale County,Reported,CDC ArboNET Tick Module historic data
01047,AL,Dallas County,Established,CDC ArboNET Tick Module 2017 submission
01049,AL,DeKalb County,No records,CDC ArboNET Tick Module historic data
01051,AL,Elmore County,Established,CDC ArboNET Tick Module historic data
01053,AL,Escambia County,Established,CDC ArboNET Tick Module historic data
01055,AL,Etowah County,No records,CDC ArboNET Tick Module historic data
01057,AL,Fayette County,Established,CDC ArboNET Tick Module 2017 submission
01059,AL,Franklin County,Established,CDC ArboNET Tick Module historic data
01061,AL,Geneva County,Reported,CDC ArboNET Tick Module historic data
01063,AL,Greene County,No records,CDC ArboNET Tick Module historic data
01065,AL,Hale County,Established,CDC ArboNET Tick Module historic data
01067,AL,Henry County,Established,CDC ArboNET Tick Module historic data
01069,AL,Houston County,Reported,CDC ArboNET Tick Module historic data
01071,AL,Jackson County,Established,CDC ArboNET Tick Module historic data
01073,AL,Jefferson County,Reported,CDC ArboNET Tick Module historic data
01075,AL,Lamar County,No records,CDC ArboNET Tick Module historic data
01077,AL,Lauderdale County,No records,CDC ArboNET Tick Module historic data
01079,AL,Lawrence County,Reported,CDC ArboNET Tick Module historic data
01081,AL,Lee County,Established,CDC ArboNET Tick Module historic data
01083,AL,Limestone County,No records,CDC ArboNET Tick Module historic data
01085,AL,Lowndes County,Reported,CDC ArboNET Tick Module historic data
01087,AL,Macon County,No records,CDC ArboNET Tick Module historic data
01089,AL,Madison County,Reported,CDC ArboNET Tick Module historic data
01091,AL,Marengo County,Reported,CDC ArboNET Tick Module historic data
01093,AL,Marion County,No records,CDC ArboNET Tick Module historic data
01095,AL,Marshall County,No records,CDC ArboNET Tick Module historic data
01097,AL,Mobile County,Established,CDC ArboNET Tick Module historic data
01099,AL,Monroe County,Established,CDC ArboNET Tick Module historic data
01101,AL,Montgomery County,Reported,CDC ArboNET Tick Module historic data
01103,AL,Morgan County,No records,CDC ArboNET Tick Module historic data
01105,AL,Perry County,No records,CDC ArboNET Tick Module historic data
01107,AL,Pickens County,Established,CDC ArboNET Tick Module historic data
01109,AL,Pike County,No records,CDC ArboNET Tick Module historic data
01111,AL,Randolph County,Reported,CDC ArboNET Tick Module historic data
01113,AL,Russell County,Established,CDC ArboNET Tick Module historic data
01115,AL,St. Clair County,No records,CDC ArboNET Tick Module historic data
01117,AL,Shelby County,No records,CDC ArboNET Tick Module historic data
01119,AL,Sumter County,Reported,CDC ArboNET Tick Module historic data
01121,AL,Talladega County,Reported,CDC ArboNET Tick Module historic data
01123,AL,Tallapoosa County,Established,CDC ArboNET Tick Module historic data
01125,AL,Tuscaloosa County,Reported,CDC ArboNET Tick Module historic data
01127,AL,Walker County,No records,CDC ArboNET Tick Module historic data
01129,AL,Washington County,Reported,CDC ArboNET Tick Module historic data
01131,AL,Wilcox County,Reported,CDC ArboNET Tick Module historic data
01133,AL,Winston County,Established,CDC ArboNET Tick Module historic data
04001,AZ,Apache County,No records,CDC ArboNET Tick Module historic data
04003,AZ,Cochise County,No records,CDC ArboNET Tick Module historic data
04005,AZ,Coconino County,No records,CDC ArboNET Tick Module historic data
04007,AZ,Gila County,No records,CDC ArboNET Tick Module historic data
04009,AZ,Graham County,No records,CDC ArboNET Tick Module historic data
04011,AZ,Greenlee County,No records,CDC ArboNET Tick Module historic data
04012,AZ,La Paz County,No records,CDC ArboNET Tick Module historic data
04013,AZ,Maricopa County,No records,CDC ArboNET Tick Module historic data
04015,AZ,Mohave County,No records,CDC ArboNET Tick Module historic data
04017,AZ,Navajo County,No records,CDC ArboNET Tick Module historic data
04019,AZ,Pima County,No records,CDC ArboNET Tick Module historic data
04021,AZ,Pinal County,No records,CDC ArboNET Tick Module historic data
04023,AZ,Santa Cruz County,No records,CDC ArboNET Tick Module historic data
04025,AZ,Yavapai County,No records,CDC ArboNET Tick Module historic data
04027,AZ,Yuma County,No records,CDC ArboNET Tick Module historic data
05001,AR,Arkansas County,No records,CDC ArboNET Tick Module historic data
05003,AR,Ashley County,Established,CDC ArboNET Tick Module historic data
05005,AR,Baxter County,Established,CDC ArboNET Tick Module historic data
05007,AR,Benton County,Established,CDC ArboNET Tick Module historic data
05009,AR,Boone County,Established,CDC ArboNET Tick Module historic data
05011,AR,Bradley County,No records,CDC ArboNET Tick Module historic data
05013,AR,Calhoun County,Reported,CDC ArboNET Tick Module historic data
05015,AR,Carroll County,Reported,CDC ArboNET Tick Module historic data
05017,AR,Chicot County,No records,CDC ArboNET Tick Module historic data
05019,AR,Clark County,Established,CDC ArboNET Tick Module historic data
05021,AR,Clay County,No records,CDC ArboNET Tick Module historic data
05023,AR,Cleburne County,Established,CDC ArboNET Tick Module historic data
05025,AR,Cleveland County,No records,CDC ArboNET Tick Module historic data
05027,AR,Columbia County,Reported,CDC ArboNET Tick Module historic data
05029,AR,Conway County,Reported,CDC ArboNET Tick Module historic data
05031,AR,Craighead County,No records,CDC ArboNET Tick Module historic data
05033,AR,Crawford County,Established,CDC ArboNET Tick Module historic data
05035,AR,Crittenden County,No records,CDC ArboNET Tick Module historic data
05037,AR,Cross County,No records,CDC ArboNET Tick Module historic data
05039,AR,Dallas County,Reported,CDC ArboNET Tick Module historic data
05041,AR,Desha County,No records,CDC ArboNET Tick Module historic data
05043,AR,Drew County,Reported,CDC ArboNET Tick Module historic data
05045,AR,Faulkner County,Established,CDC ArboNET Tick Module historic data
05047,AR,Franklin County,Established,CDC ArboNET Tick Module historic data
05049,AR,Fulton County,Established,CDC ArboNET Tick Module historic data
05051,AR,Garland County,Established,CDC ArboNET Tick Module historic data
05053,AR,Grant County,Established,CDC ArboNET Tick Module historic data
05055,AR,Greene County,No records,CDC ArboNET Tick Module historic data
05057,AR,Hempstead County,Established,CDC ArboNET Tick Module historic data
05059,AR,Hot Spring County,No records,CDC ArboNET Tick Module historic data
05061,AR,Howard County,Reported,CDC ArboNET Tick Module historic data
05063,AR,Independence County,No records,CDC ArboNET Tick Module historic data
05065,AR,Izard County,Reported,CDC ArboNET Tick Module historic data
05067,AR,Jackson County,No records,CDC ArboNET Tick Module historic data
05069,AR,Jefferson County,Reported,CDC ArboNET Tick Module historic data
05071,AR,Johnson County,Reported,CDC ArboNET Tick Module historic data
05073,AR,Lafayette County,Reported,CDC ArboNET Tick Module historic data
05075,AR,Lawrence County,Established,CDC ArboNET Tick Module historic data
05077,AR,Lee County,No records,CDC ArboNET Tick Module historic data
05079,AR,Lincoln County,Reported,CDC ArboNET Tick Module historic data
05081,AR,Little River County,No records,CDC ArboNET Tick Module historic data
05083,AR,Logan County,Reported,CDC ArboNET Tick Module historic data
05085,AR,Lonoke County,No records,CDC ArboNET Tick Module historic data
05087,AR,Madison County,Established,CDC ArboNET Tick Module historic data
05089,AR,Marion County,Established,CDC ArboNET Tick Module historic data
05091,AR,Miller County,No records,CDC ArboNET Tick Module historic data
05093,AR,Mississippi County,No records,CDC ArboNET Tick Module historic data
05095,AR,Monroe County,No records,CDC ArboNET Tick Module historic data
05097,AR,Montgomery County,Reported,CDC ArboNET Tick Module historic data
05099,AR,Nevada County,Reported,CDC ArboNET Tick Module historic data
05101,AR,Newton County,Reported,CDC ArboNET Tick Module historic data
05103,AR,Ouachita County,Reported,CDC ArboNET Tick Module historic data
05105,AR,Perry County,Reported,CDC ArboNET Tick Module historic data
05107,AR,Phillips County,No records,CDC ArboNET Tick Module historic data
05109,AR,Pike County,Reported,CDC ArboNET Tick Module historic data
05111,AR,Poinsett County,Established,CDC ArboNET Tick Module historic data
05113,AR,Polk County,Established,CDC ArboNET Tick Module historic data
05115,AR,Pope County,Established,CDC ArboNET Tick Module historic data
05117,AR,Prairie County,Established,CDC ArboNET Tick Module historic data
05119,AR,Pulaski County,Reported,CDC ArboNET Tick Module historic data
05121,AR,Randolph County,Reported,CDC ArboNET Tick Module historic data
05123,AR,St. Francis County,No records,CDC ArboNET Tick Module historic data
05125,AR,Saline County,Established,CDC ArboNET Tick Module historic data
