Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,65.2,110,1.2,64
AL-003,Baldwin County,68.1,111,1.3,66.8
AL-005,Barbour County,65.9,108,1.1,64.8
AL-007,Bibb County,63.9,106,1.1,62.8
AL-009,Blount County,62.5,114,1.9,60.6
AL-011,Bullock County,65.3,107,1.2,64.1
AL-013,Butler County,65.9,111,1.3,64.6
AL-015,Calhoun County,62.9,114,2,60.9
AL-017,Chambers County,63,112,1.4,61.6
AL-019,Cherokee County,62,110,1.4,60.6
AL-021,Chilton County,63.5,96,0.8,62.7
AL-023,Choctaw County,66.1,115,1.6,64.5
AL-025,Clarke County,66.2,112,1.4,64.8
AL-027,Clay County,62.1,111,1.4,60.7
AL-029,Cleburne County,62,116,2.1,59.9
AL-031,Coffee County,66.5,107,1.1,65.4
AL-033,Colbert County,61.5,110,1.6,59.9
AL-035,Conecuh County,66.8,113,1.4,65.4
AL-037,Coosa County,63.2,102,0.9,62.3
AL-039,Covington County,66.8,110,1.3,65.5
AL-041,Crenshaw County,65.4,101,1,64.4
AL-043,Cullman County,61.9,112,1.6,60.3
AL-045,Dale County,66.8,108,1.1,65.7
AL-047,Dallas County,65.8,113,1.4,64.4
AL-049,DeKalb County,60.3,100,1.1,59.2
AL-051,Elmore County,65,112,1.2,63.8
AL-053,Escambia County,67.3,110,1.3,66
AL-055,Etowah County,62.5,111,1.6,60.9
AL-057,Fayette County,63.4,111,1.4,62
AL-059,Franklin County,61.4,110,1.5,59.9
AL-061,Geneva County,67.5,112,1.5,66
AL-063,Greene County,64.8,103,1,63.8
AL-065,Hale County,64.8,108,1.1,63.7
AL-067,Henry County,66.9,109,1.2,65.7
AL-069,Houston County,67.9,113,1.4,66.5
AL-071,Jackson County,60.5,103,1.1,59.4
AL-073,Jefferson County,63.6,113,1.8,61.8
AL-075,Lamar County,63.4,108,1.3,62.1
AL-077,Lauderdale County,61.1,110,1.6,59.5
AL-079,Lawrence County,61.2,104,1.1,60.1
AL-081,Lee County,64.5,113,1.5,63
AL-083,Limestone County,61.4,110,1.5,59.9
AL-085,Lowndes County,66,112,1.4,64.6
AL-087,Macon County,65.4,112,1.3,64.1
AL-089,Madison County,61.3,108,1.4,59.9
AL-091,Marengo County,65.4,106,1.2,64.2
AL-093,Marion County,61.9,106,1.2,60.7
AL-095,Marshall County,61.6,108,1.3,60.3
AL-097,Mobile County,68.2,117,1.8,66.4
AL-099,Monroe County,66.9,117,1.7,65.2
AL-101,Montgomery County,65.9,112,1.4,64.5
AL-103,Morgan County,61.7,110,1.5,60.2
AL-105,Perry County,64.8,108,1.2,63.6
AL-107,Pickens County,64.4,111,1.4,63
AL-109,Pike County,65.4,99,0.7,64.7
AL-111,Randolph County,62.2,112,1.7,60.5
AL-113,Russell County,65.7,113,1.5,64.2
AL-115,St. Clair County,63,112,1.9,61.1
AL-117,Shelby County,63.4,110,1.3,62.1
AL-119,Sumter County,65.3,110,1.3,64
AL-121,Talladega County,63.3,111,1.5,61.8
AL-123,Tallapoosa County,63.2,105,1.1,62.1
AL-125,Tuscaloosa County,64.4,112,1.4,63
AL-127,Walker County,63,111,1.4,61.6
AL-129,Washington County,66.6,111,1.2,65.4
AL-131,Wilcox County,66.2,113,1.5,64.7
AL-133,Winston County,61.2,100,1,60.2
AZ-001,Apache County,52.2,123,2.5,49.7
AZ-003,Cochise County,63,123,2.6,60.4
AZ-005,Coconino County,54.8,124,3,51.8
AZ-007,Gila County,61.9,124,3.3,58.6
AZ-009,Graham County,63.1,124,2.8,60.3
AZ-011,Greenlee County,58.7,124,2.9,55.8
AZ-012,La Paz County,73.1,121,2.8,70.3
AZ-013,Maricopa County,72.2,122,3.1,69.1
AZ-015,Mohave County,64.4,124,3,61.4
AZ-017,Navajo County,53.9,124,2.8,51.1
AZ-019,Pima County,69.4,122,2.9,66.5
AZ-021,Pinal County,70.4,122,2.8,67.6
AZ-023,Santa Cruz County,62.3,123,2.4,59.9
AZ-025,Yavapai County,61.3,124,3,58.3
AZ-027,Yuma County,74,121,3.1,70.9
AR-001,Arkansas County,62.9,93,0.8,62.1
AR-003,Ashley County,64.6,108,1.4,63.2
AR-005,Baxter County,57.8,84,0.6,57.2
AR-007,Benton County,58.1,92,0.8,57.3
AR-009,Boone County,57.3,78,0.5,56.8
AR-011,Bradley County,64.1,108,1.4,62.7
AR-013,Calhoun County,63.4,89,0.7,62.7
AR-015,Carroll County,57.5,87,0.6,56.9
AR-017,Chicot County,63.9,76,0.4,63.5
AR-019,Clark County,62.9,91,0.8,62.1
AR-021,Clay County,59.2,75,0.5,58.7
AR-023,Cleburne County,59.7,94,0.8,58.9
AR-025,Cleveland County,62.9,85,0.6,62.3
AR-027,Columbia County,64,90,0.6,63.4
AR-029,Conway County,60.8,83,0.6,60.2
AR-031,Craighead County,60.4,97,0.9,59.5
AR-033,Crawford County,60,86,0.7,59.3
AR-035,Crittenden County,62,88,0.7,61.3
AR-037,Cross County,61.3,82,0.5,60.8
AR-039,Dallas County,62.7,79,0.5,62.2
AR-041,Desha County,63.2,86,0.4,62.8
AR-043,Drew County,63.7,98,0.9,62.8
AR-045,Faulkner County,61.1,82,0.6,60.5
AR-047,Franklin County,59.9,87,0.6,59.3
AR-049,Fulton County,57.8,97,1.2,56.6
AR-051,Garland County,61.8,97,1,60.8
AR-053,Grant County,62.5,79,0.4,62.1
AR-055,Greene County,59.6,84,0.7,58.9
AR-057,Hempstead County,62.9,81,0.4,62.5
AR-059,Hot Spring County,62.4,85,0.7,61.7
AR-061,Howard County,61.9,89,0.7,61.2
AR-063,Independence County,59.7,93,0.9,58.8
AR-065,Izard County,58,83,0.6,57.4
AR-067,Jackson County,60.4,91,0.8,59.6
AR-069,Jefferson County,62.6,77,0.5,62.1
AR-071,Johnson County,59.3,87,0.7,58.6
AR-073,Lafayette County,64.3,97,0.8,63.5
AR-075,Lawrence County,59.5,91,0.8,58.7
AR-077,Lee County,62.4,92,0.8,61.6
AR-079,Lincoln County,63.1,90,0.7,62.4
AR-081,Little River County,63.7,103,1.1,62.6
AR-083,Logan County,60.8,85,0.7,60.1
AR-085,Lonoke County,62.2,87,0.6,61.6
AR-087,Madison County,57.1,87,0.6,56.5
AR-089,Marion County,57.6,79,0.5,57.1
AR-091,Miller County,64.4,100,0.8,63.6
AR-093,Mississippi County,60.9,86,0.8,60.1
AR-095,Monroe County,62.5,93,0.8,61.7
AR-097,Montgomery County,61.2,101,1.1,60.1
AR-099,Nevada County,63.1,81,0.4,62.7
AR-101,Newton County,57.1,87,0.7,56.4
AR-103,Ouachita County,63.2,73,0.2,63
AR-105,Perry County,61.6,92,0.8,60.8
AR-107,Phillips County,62.7,92,0.8,61.9
AR-109,Pike County,61.6,83,0.5,61.1
AR-111,Poinsett County,60.9,88,0.8,60.1
AR-113,Polk County,60.4,103,1.1,59.3
AR-115,Pope County,59.7,84,0.7,59
AR-117,Prairie County,62.2,86,0.7,61.5
AR-119,Pulaski County,61.9,78,0.5,61.4
AR-121,Randolph County,58.7,84,0.7,58
AR-123,St. Francis County,61.9,89,0.7,61.2
AR-125,Saline County,61.7,80,0.5,61.2
AR-127,Scott County,60.6,92,0.9,59.7
AR-129,Searcy County,57.8,86,0.8,57
AR-131,Sebastian County,61.2,90,0.8,60.4
AR-133,Sevier County,62.8,103,1.1,61.7
AR-135,Sharp County,58.5,95,1.1,57.4
AR-137,Stone County,58.2,82,0.5,57.7
AR-139,Union County,64.5,107,1.2,63.3
AR-141,Van Buren County,58.9,86,0.7,58.2
AR-143,Washington County,57.9,84,0.6,57.3
AR-145,White County,61.3,97,1,60.3
AR-147,Woodruff County,61.4,85,0.6,60.8
AR-149,Yell County,61.4,93,0.8,60.6
CA-001,Alameda County,59.8,117,1.9,57.9
CA-003,Alpine County,45.7,121,2.4,43.3
CA-005,Amador County,59.7,123,2.5,57.2
CA-007,Butte County,61,121,2.2,58.8
CA-009,Calaveras County,60,123,2.4,57.6
CA-011,Colusa County,62.5,122,2.1,60.4
CA-013,Contra Costa County,61,119,2.2,58.8
CA-015,Del Norte County,52.9,117,2.1,50.8
CA-017,El Dorado County,55.4,122,2.1,53.3
CA-019,Fresno County,57.4,123,3,54.4
CA-021,Glenn County,61,119,1.7,59.3
CA-023,Humboldt County,54.8,116,1.8,53
CA-025,Imperial County,75.3,121,3.1,72.2
CA-027,Inyo County,62.7,124,3.2,59.5
CA-029,Kern County,63.6,122,3.1,60.5
CA-031,Kings County,65.2,121,2.7,62.5
CA-033,Lake County,58.5,123,2.2,56.3
CA-035,Lassen County,48,113,1.9,46.1
CA-037,Los Angeles County,63.5,121,3.6,59.9
CA-039,Madera County,57.7,121,2.6,55.1
CA-041,Marin County,56.7,116,1.8,54.9
CA-043,Mariposa County,56.9,121,2.4,54.5
CA-045,Mendocino County,56.2,115,1.4,54.8
CA-047,Merced County,63.4,121,2.3,61.1
CA-049,Modoc County,48,116,2.5,45.5
CA-051,Mono County,46.1,121,2.9,43.2
CA-053,Monterey County,59.9,121,2.7,57.2
