GEO_ID,NAME,S1903_C01_024M,S1903_C02_024E,S1903_C02_024M,S1903_C03_024E,S1903_C03_024M,S1903_C01_025E,S1903_C01_025M,S1903_C02_025E,S1903_C02_025M,S1903_C03_025E,S1903_C03_025M,S1903_C01_026E,S1903_C01_026M,S1903_C02_026E,S1903_C02_026M,S1903_C03_026E,S1903_C03_026M,S1903_C01_027E,S1903_C01_027M,S1903_C02_027E,S1903_C02_027M,S1903_C03_027E,S1903_C03_027M,S1903_C01_028E,S1903_C01_028M,S1903_C02_028E,S1903_C02_028M,S1903_C03_028E,S1903_C03_028M,S1903_C01_029E,S1903_C01_029M,S1903_C02_029E,S1903_C02_029M,S1903_C03_029E,S1903_C03_029M,S1903_C01_030E,S1903_C01_030M,S1903_C02_030E,S1903_C02_030M,S1903_C03_030E,S1903_C03_030M,S1903_C01_031E,S1903_C01_031M,S1903_C02_031E,S1903_C02_031M,S1903_C03_031E,S1903_C03_031M,S1903_C01_032E,S1903_C01_032M,S1903_C02_032E,S1903_C02_032M,S1903_C03_032E,S1903_C03_032M,S1903_C01_033E,S1903_C01_033M,S1903_C02_033E,S1903_C02_033M,S1903_C03_033E,S1903_C03_033M,S1903_C01_034E,S1903_C01_034M,S1903_C02_034E,S1903_C02_034M,S1903_C03_034E,S1903_C03_034M,S1903_C01_035E,S1903_C01_035M,S1903_C02_035E,S1903_C02_035M,S1903_C03_035E,S1903_C03_035M,S1903_C01_036E,S1903_C01_036M,S1903_C02_036E,S1903_C02_036M,S1903_C03_036E,S1903_C03_036M,S1903_C01_037E,S1903_C01_037M,S1903_C02_037E,S1903_C02_037M,S1903_C03_037E,S1903_C03_037M,S1903_C01_038E,S1903_C01_038M,S1903_C02_038E,S1903_C02_038M,S1903_C03_038E,S1903_C03_038M,S1903_C01_039E,S1903_C01_039M,S1903_C02_039E,S1903_C02_039M,S1903_C03_039E,S1903_C03_039M,S1903_C01_040E,S1903_C01_040M,S1903_C02_040E,S1903_C02_040M,S1903_C03_040E,S1903_C03_040M,S1903_C01_001E,S1903_C01_001M,S1903_C02_001E,S1903_C02_001M,S1903_C03_001E,S1903_C03_001M,S1903_C01_002E,S1903_C01_002M,S1903_C02_002E,S1903_C02_002M,S1903_C03_002E,S1903_C03_002M,S1903_C01_003E,S1903_C01_003M,S1903_C02_003E,S1903_C02_003M,S1903_C03_003E,S1903_C03_003M,S1903_C01_004E,S1903_C01_004M,S1903_C02_004E,S1903_C02_004M,S1903_C03_004E,S1903_C03_004M,S1903_C01_005E,S1903_C01_005M,S1903_C02_005E,S1903_C02_005M,S1903_C03_005E,S1903_C03_005M,S1903_C01_006E,S1903_C01_006M,S1903_C02_006E,S1903_C02_006M,S1903_C03_006E,S1903_C03_006M,S1903_C01_007E,S1903_C01_007M,S1903_C02_007E,S1903_C02_007M,S1903_C03_007E,S1903_C03_007M,S1903_C01_008E,S1903_C01_008M,S1903_C02_008E,S1903_C02_008M,S1903_C03_008E,S1903_C03_008M,S1903_C01_009E,S1903_C01_009M,S1903_C02_009E,S1903_C02_009M,S1903_C03_009E,S1903_C03_009M,S1903_C01_010E,S1903_C01_010M,S1903_C02_010E,S1903_C02_010M,S1903_C03_010E,S1903_C03_010M,S1903_C01_011E,S1903_C01_011M,S1903_C02_011E,S1903_C02_011M,S1903_C03_011E,S1903_C03_011M,S1903_C01_012E,S1903_C01_012M,S1903_C02_012E,S1903_C02_012M,S1903_C03_012E,S1903_C03_012M,S1903_C01_013E,S1903_C01_013M,S1903_C02_013E,S1903_C02_013M,S1903_C03_013E,S1903_C03_013M,S1903_C01_014E,S1903_C01_014M,S1903_C02_014E,S1903_C02_014M,S1903_C03_014E,S1903_C03_014M,S1903_C01_015E,S1903_C01_015M,S1903_C02_015E,S1903_C02_015M,S1903_C03_015E,S1903_C03_015M,S1903_C01_016E,S1903_C01_016M,S1903_C02_016E,S1903_C02_016M,S1903_C03_016E,S1903_C03_016M,S1903_C01_017E,S1903_C01_017M,S1903_C02_017M,S1903_C03_017E,S1903_C03_017M,S1903_C01_018E,S1903_C01_018M,S1903_C02_018E,S1903_C02_018M,S1903_C03_018E,S1903_C03_018M,S1903_C01_019E,S1903_C01_019M,S1903_C02_019E,S1903_C02_019M,S1903_C03_019E,S1903_C03_019M,S1903_C01_020E,S1903_C01_020M,S1903_C02_020E,S1903_C02_020M,S1903_C03_020E,S1903_C03_020M,S1903_C01_021E,S1903_C01_021M,S1903_C02_021E,S1903_C02_021M,S1903_C03_021E,S1903_C03_021M,S1903_C01_022E,S1903_C01_022M,S1903_C02_022E,S1903_C02_022M,S1903_C03_022E,S1903_C03_022M,S1903_C01_023E,S1903_C01_023M,S1903_C02_023E,S1903_C02_023M,S1903_C03_023E,S1903_C03_023M,S1903_C01_024E,S1903_C02_017E
0500000US01001,"Autauga County, Alabama",454,45.6,2.6,64947,6663,3353,436,22.1,2.7,80172,14181,2798,392,18.5,2.5,85455,10692,1429,269,9.4,1.8,88601,20739,518,168,3.4,1.1,103787,12387,153,82,1,0.5,135083,73304,2635,238,17.4,1.5,36968,4172,4949,479,32.6,2.9,49784,8497,6256,496,41.3,2.9,95503,5845,1321,263,8.7,1.8,125406,6183,5954,523,5954,523,26779,4141,3282,360,55.1,3.9,22595,3817,2971,355,49.9,3.9,19648,2425,311,150,5.2,2.5,53961,7343,2672,338,44.9,3.9,36747,3858,2332,296,39.2,3.8,35500,7345,340,156,5.7,2.5,48125,37328,21115,383,21115,383,58786,2972,16585,363,78.5,0.9,66423,4761,4085,205,19.3,0.9,27643,2692,34,33,0.2,0.2,-,**,197,80,0.9,0.4,-,**,5,11,0,0.1,-,**,26,25,0.1,0.1,-,**,183,60,0.9,0.3,-,**,469,157,2.2,0.7,83423,40245,16172,356,76.6,1.1,65047,4072,688,210,3.3,1,-,**,7207,342,34.1,1.3,61203,4583,8079,265,38.3,1.4,79748,5751,5141,251,24.3,1.2,40822,5108,15161,488,15161,488,73530,3344,6787,434,44.8,2.5,78411,10358,8374,471,2.5,71443,3725,11988,495,79.1,2.5,86830,4336,5201,406,34.3,2.5,91985,4037,2405,356,15.9,2.2,22461,6168,1213,282,8,1.8,18843,4624,768,217,5.1,1.4,47234,14658,373,151,2.5,1,57621,17850,6910,55.2
0500000US01003,"Baldwin County, Alabama",1059,55.9,1.6,63975,2297,9861,773,19.2,1.4,79390,8851,7450,711,14.5,1.3,88458,5199,3765,476,7.3,0.9,91259,7011,1191,284,2.3,0.6,69609,23175,388,166,0.8,0.3,107838,69994,10572,597,20.6,1.1,46546,4276,15976,805,31.1,1.5,54565,1798,20629,1057,40.2,1.6,93205,4677,4182,479,8.1,0.9,110290,9366,27263,1223,27263,1223,31425,1127,16290,947,59.8,2.1,29751,2085,14241,933,52.2,2.2,26674,1690,2049,389,7.5,1.4,54177,3948,10973,731,40.2,2.1,32832,3495,9652,767,35.4,2.2,31486,1297,1321,279,4.8,1.1,63356,12718,78622,1183,78622,1183,55962,1204,69544,1042,88.5,0.8,58931,1138,6425,500,8.2,0.6,31112,4951,460,171,0.6,0.2,53289,8005,722,209,0.9,0.3,34763,14953,0,28,0,0.1,-,**,539,229,0.7,0.3,45634,37471,932,228,1.2,0.3,53456,13602,2655,315,3.4,0.4,43279,13266,67725,1080,86.1,0.9,59418,1232,1840,356,2.3,0.4,40051,5279,20362,786,25.9,0.8,62192,3827,30997,872,39.4,0.9,63921,2567,25423,564,32.3,0.7,45680,1847,51359,1309,51359,1309,71951,2257,18035,860,35.1,1.4,77231,5365,33324,1111,1.4,69982,2460,41452,1207,80.7,1.5,82137,2124,13527,811,26.3,1.5,92007,5972,7485,684,14.6,1.2,37897,3856,3414,501,6.6,1,24468,5643,2422,458,4.7,0.9,55250,6147,1094,295,2.1,0.6,55882,15650,28704,64.9
0500000US01005,"Barbour County, Alabama",218,48.2,3.1,45231,5713,1312,214,21.8,3.2,41250,11047,1109,178,18.4,3,49398,9930,538,118,8.9,1.8,47097,14801,85,42,1.4,0.7,31319,22847,78,47,1.3,0.8,30139,22707,1368,186,22.7,2.8,22754,5071,2458,241,40.8,3.5,39852,4179,1825,234,30.3,3.8,69375,11571,379,100,6.3,1.6,75893,22560,3156,280,3156,280,18256,2107,1809,216,57.3,4.7,15510,1638,1710,197,54.2,4.6,15698,1460,99,72,3.1,2.2,-,**,1347,190,42.7,4.7,22351,5965,1280,185,40.6,4.7,21643,4368,67,38,2.1,1.2,105125,48293,9186,280,9186,280,34186,2552,4729,211,51.5,2.1,46719,4210,4135,248,45,2.1,23013,2168,9,16,0.1,0.2,-,**,43,44,0.5,0.5,50417,39263,0,22,0,0.4,-,**,147,56,1.6,0.6,26793,13936,123,61,1.3,0.7,19760,12725,236,77,2.6,0.8,30417,9948,4651,219,50.6,2.2,47031,4192,252,100,2.7,1.1,17788,7151,2628,252,28.6,2.4,35140,6613,3438,172,37.4,1.8,40255,3537,2868,160,31.2,1.6,30819,2922,6030,284,6030,284,44339,3100,2423,238,40.2,3.1,37109,5110,3607,222,3.1,49708,5042,3908,237,64.8,2.8,61488,5320,1249,208,20.7,3.3,57225,8922,1776,190,29.5,2.7,20607,3201,1005,170,16.7,2.5,16432,3532,346,107,5.7,1.7,38871,8616,169,80,2.8,1.3,38491,18315,2908,59.8
0500000US01007,"Bibb County, Alabama",378,51.5,6,44738,3858,1175,258,23.8,5,62813,8467,695,187,14,3.9,53988,11521,357,128,7.2,2.5,91250,19283,74,62,1.5,1.2,61974,59900,100,73,2,1.5,92717,73893,1091,207,22.1,3.9,30117,6356,1658,329,33.5,5.8,43750,5066,1907,294,38.5,5.3,80399,7045,291,108,5.9,2.3,111743,15060,1893,255,1893,255,23632,2989,924,161,48.8,6.8,19318,3537,894,160,47.2,6.6,19091,3658,30,20,1.6,1.1,22143,14135,969,200,51.2,6.8,29453,12783,882,181,46.6,6.5,28531,7302,87,80,4.6,4.1,-,**,6840,321,6840,321,45340,5618,5588,346,81.7,3,50490,4625,1172,200,17.1,2.9,34000,18877,0,22,0,0.5,-,**,21,32,0.3,0.5,-,**,0,22,0,0.5,-,**,0,22,0,0.5,-,**,59,50,0.9,0.7,20329,15011,119,89,1.7,1.3,42708,25761,5506,337,80.5,3,50769,4252,85,56,1.2,0.8,26473,18165,1778,268,26,3.5,53382,4797,2755,287,40.3,3.8,52515,8477,2222,169,32.5,2.5,35503,3633,4947,366,4947,366,54840,6230,1728,243,34.9,4.7,62794,7658,3219,361,4.7,52510,8510,3626,370,73.3,5.3,71761,9703,1321,222,26.7,4.4,76497,10154,934,237,18.9,4.5,26288,9613,327,142,6.6,2.9,20160,10899,387,144,7.8,2.9,36188,12588,80,75,1.6,1.5,33300,27603,2546,65.1
0500000US01009,"Blount County, Alabama",481,47.6,2.5,50583,2255,3407,332,22.6,2.2,68903,5183,2803,310,18.6,2.1,67785,3895,1080,205,7.2,1.3,66571,4508,382,132,2.5,0.9,54342,17692,246,130,1.6,0.9,54330,1998,3532,336,23.4,2.1,32476,2238,5627,453,37.3,2.7,51610,2991,5110,384,33.8,2.5,81781,4234,835,158,5.5,1,106858,17858,5496,467,5496,467,21823,2282,2985,338,54.3,3.6,19021,3361,2763,330,50.3,4,18315,3205,222,88,4,1.5,28403,7023,2511,277,45.7,3.6,25869,5313,2327,267,42.3,3.5,22713,5866,184,83,3.3,1.5,53750,15485,20600,396,20600,396,48695,2703,20054,417,97.3,0.6,48985,2775,190,98,0.9,0.5,-,**,24,27,0.1,0.1,65385,54838,37,24,0.2,0.1,99219,57051,0,28,0,0.2,-,**,66,48,0.3,0.2,-,**,229,78,1.1,0.4,44934,10081,1153,99,5.6,0.5,35495,7762,19034,399,92.4,0.7,49872,2386,419,130,2,0.6,31058,16184,5864,306,28.5,1.3,59345,6438,8289,285,40.2,1.3,52951,2868,6028,233,29.3,0.9,34070,1917,15104,429,15104,429,59882,4346,5566,331,36.9,2.2,62356,3496,9538,491,2.2,56266,5274,11942,475,79.1,2.5,66262,2820,4129,329,27.3,2.3,71326,4532,1977,290,13.1,1.8,29525,7749,949,207,6.3,1.4,21645,5987,1185,254,7.8,1.7,51465,5896,488,169,3.2,1.1,49450,16680,7186,63.1
0500000US01011,"Bullock County, Alabama",266,47.6,9.1,44706,6778,838,231,33.8,9,36221,15884,353,144,14.2,5.7,-,**,15,20,0.6,0.8,-,**,61,66,2.5,2.6,-,**,34,35,1.4,1.4,-,**,692,214,27.9,8.1,8830,1561,863,205,34.8,7.3,36052,4143,740,165,29.8,5.9,58281,18953,186,130,7.5,5.3,103750,691,1128,265,1128,265,15833,6933,583,161,51.7,7.9,13712,1867,542,159,48,8.2,13189,1739,41,36,3.6,3.2,83750,30268,545,159,48.3,7.9,19875,7886,527,155,46.7,7.9,19425,7072,18,30,1.6,2.6,-,**,3609,196,3609,196,32152,10285,881,119,24.4,3.3,61806,11567,2681,212,74.3,3.5,21875,7470,44,52,1.2,1.4,-,**,0,19,0,0.9,-,**,0,19,0,0.9,-,**,3,7,0.1,0.2,-,**,0,19,0,0.9,-,**,50,51,1.4,1.4,-,**,834,100,23.1,2.8,63636,12017,168,102,4.7,2.8,8404,2818,941,198,26.1,5,14568,9504,1561,199,43.3,5.4,44609,9576,939,117,26,3.1,45742,18567,2481,255,2481,255,42550,7221,1128,179,45.5,6,21596,19087,1353,213,6,55625,5459,1408,196,56.8,6.4,53788,8901,423,159,17,6.6,44402,24486,883,191,35.6,6.4,17054,9476,551,158,22.2,5.5,9684,5969,190,146,7.7,5.8,32577,3727,154,134,6.2,5.4,33036,1711,1180,54.5
0500000US01013,"Butler County, Alabama",203,54.6,3.7,44591,3752,965,147,21.8,3,54638,8903,723,144,16.3,3,41404,4668,193,61,4.4,1.3,56719,15976,104,52,2.3,1.2,-,**,25,21,0.6,0.5,36563,668,989,130,22.3,2.7,32725,6956,1770,223,40,4.3,36121,3417,1459,174,32.9,3.4,66356,7295,211,65,4.8,1.4,92250,27877,2279,216,2279,216,21005,5268,1344,152,59,4.6,17250,2527,1252,153,54.9,4.8,16222,2342,92,41,4,1.8,45938,9040,935,148,41,4.6,26969,7557,794,128,34.8,4.4,24500,5726,141,61,6.2,2.5,80231,9872,6708,274,6708,274,39109,2026,3821,173,57,2.2,48712,4545,2752,207,41,2.1,26260,2488,2,4,0,0.1,-,**,42,16,0.6,0.2,96618,48883,0,22,0,0.5,-,**,0,22,0,0.5,-,**,91,40,1.4,0.6,-,**,45,35,0.7,0.5,8558,7018,3791,170,56.5,2.2,49094,4552,201,85,3,1.2,29861,9594,1695,192,25.3,2.4,41543,3962,2738,187,40.8,2.6,42328,5710,2074,141,30.9,2,34795,3885,4429,268,4429,268,46312,4286,1564,190,35.3,3.3,40660,2630,2865,199,3.3,49956,4391,2986,234,67.4,3.6,59878,7233,860,143,19.4,2.9,63684,10677,1239,179,28,3.5,26348,4760,612,133,13.8,2.8,23033,3210,204,74,4.6,1.6,41100,13850,92,55,2.1,1.2,41818,14907,2419,64.7
0500000US01015,"Calhoun County, Alabama",705,51.7,1.7,51864,3082,6528,596,21.2,1.8,60712,5505,5352,544,17.4,1.7,66543,5673,2008,271,6.5,0.9,60833,10139,661,194,2.1,0.6,65329,19786,346,133,1.1,0.4,63913,17348,6455,463,20.9,1.5,31306,2244,10975,667,35.6,1.7,44493,2006,10858,587,35.2,1.8,78036,6505,2545,312,8.3,1,102083,9877,14200,682,14200,682,23982,1466,7734,512,54.5,2.8,20152,1356,6655,468,46.9,2.6,18538,1161,1079,198,7.6,1.3,40967,8895,6466,525,45.5,2.8,29889,3413,5412,475,38.1,2.8,26376,2400,1054,233,7.4,1.5,41508,5071,45033,683,45033,683,45197,1578,33820,559,75.1,0.9,51223,2128,9514,435,21.1,0.8,28478,3680,152,64,0.3,0.1,51333,25277,410,105,0.9,0.2,38750,13044,9,14,0,0.1,-,**,425,99,0.9,0.2,43942,11586,703,140,1.6,0.3,33068,9978,975,105,2.2,0.2,36766,9034,33326,549,74,0.9,51481,2178,2276,231,5.1,0.5,22188,3907,13469,494,29.9,0.9,50763,3746,17180,423,38.1,0.9,55428,2397,12108,349,26.9,0.8,36555,2228,30833,789,30833,789,56402,1525,11798,538,38.3,1.6,51366,4117,19035,734,1.6,59010,3323,21495,707,69.7,2,69627,2052,7097,394,23,1.3,71952,4218,7367,621,23.9,1.8,24412,2674,3830,421,12.4,1.3,17208,2154,1971,294,6.4,0.9,46268,7430,871,195,2.8,0.6,36611,8279,15938,61.7
0500000US01017,"Chambers County, Alabama",376,53.4,3,48536,4722,2078,225,24,2.6,50127,3961,1160,195,13.4,2.2,57059,13866,490,152,5.7,1.8,73782,14334,224,98,2.6,1.1,77955,21907,79,57,0.9,0.6,47019,17117,2016,298,23.3,3.2,29006,3651,2801,338,32.3,3.5,39575,5624,3173,325,36.6,3.6,74341,4847,669,147,7.7,1.7,95481,12040,4857,355,4857,355,21992,2993,2792,284,57.5,4.5,18243,2875,2549,268,52.5,4.5,17147,1916,243,115,5,2.3,55924,29714,2065,276,42.5,4.5,24992,2752,1725,248,35.5,4.3,23551,2604,340,118,7,2.3,59375,34807,13516,372,13516,372,39872,2347,7953,296,58.8,1.5,47523,3794,5268,235,39,1.4,31185,2835,54,42,0.4,0.3,-,**,145,66,1.1,0.5,71563,30482,0,25,0,0.2,-,**,48,74,0.4,0.5,-,**,48,38,0.4,0.3,-,**,359,110,2.7,0.8,-,**,7642,283,56.5,1.5,48000,2811,531,163,3.9,1.2,33818,5610,3637,276,26.9,1.7,48750,5955,5320,256,39.4,1.8,44894,4311,4028,208,29.8,1.4,30335,3469,8659,390,8659,390,51386,2712,2825,318,32.6,3.3,42186,8156,5834,373,3.3,53737,2115,5713,353,66,3.2,62889,5909,1518,227,17.5,2.7,66563,20697,2162,262,25,2.7,28589,4875,1054,212,12.2,2.3,21827,1786,784,183,9.1,2,40625,11162,253,122,2.9,1.4,-,**,4628,67.4
0500000US01019,"Cherokee County, Alabama",263,52.4,3.3,48346,6247,1530,280,20.9,3.4,53452,15245,1207,217,16.5,2.7,75290,10237,548,132,7.5,1.9,41653,9217,154,81,2.1,1.1,51685,28085,50,35,0.7,0.5,127143,88695,2141,230,29.2,3.1,33338,4794,1942,275,26.5,3.5,42477,5399,2768,269,37.8,3.2,72558,8233,481,143,6.6,1.9,96763,15279,3274,326,3274,326,19347,1563,1620,211,49.5,5,17692,2007,1543,214,47.1,5,17436,1980,77,44,2.4,1.4,41250,38957,1654,251,50.5,5,21789,4235,1455,228,44.4,5.1,19417,2712,199,88,6.1,2.5,47596,24909,10606,370,10606,370,41014,1931,9953,356,93.8,1.1,41444,2315,477,90,4.5,0.8,35096,15083,33,32,0.3,0.3,-,**,13,21,0.1,0.2,-,**,0,22,0,0.3,-,**,87,68,0.8,0.6,-,**,43,45,0.4,0.4,-,**,167,52,1.6,0.5,20995,10266,9898,345,93.3,1.1,41483,2370,273,109,2.6,1,31297,15697,2366,231,22.3,1.8,51572,8013,4367,215,41.2,1.7,41663,7681,3600,154,33.9,1.2,35253,3446,7332,338,7332,338,52375,4161,2416,252,33,2.7,54397,9558,4916,263,2.7,52034,3588,6062,362,82.7,3.2,57908,6253,1922,236,26.2,2.9,65543,8086,1019,233,13.9,3.1,21287,7034,433,160,5.9,2.1,14417,7335,251,101,3.4,1.4,52250,24998,61,46,0.8,0.6,57656,53247,3843,67
