Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,68.14,117,14.64,53.5
AL-003,Baldwin County,75.08,111,13.19,61.89
AL-005,Barbour County,60.05,101,7.75,52.3
AL-007,Bibb County,63.68,110,8.51,55.17
AL-009,Blount County,60.71,91,5.2,55.51
AL-011,Bullock County,59.68,104,7.6,52.08
AL-013,Butler County,66.11,109,10.4,55.71
AL-015,Calhoun County,57.61,87,4.29,53.32
AL-017,Chambers County,64.78,117,11.49,53.29
AL-019,Cherokee County,65.31,116,11.79,53.52
AL-021,Chilton County,68.3,118,14.14,54.16
AL-023,Choctaw County,62.3,94,5.49,56.81
AL-025,Clarke County,67.55,106,9.65,57.9
AL-027,Clay County,65.42,108,9.63,55.79
AL-029,Cleburne County,64.33,108,10.44,53.89
AL-031,Coffee County,69.95,115,13.75,56.2
AL-033,Colbert County,62.97,106,9.42,53.55
AL-035,Conecuh County,66.11,103,8.1,58.01
AL-037,Coosa County,66.56,112,11.95,54.61
AL-039,Covington County,70.2,110,11.57,58.63
AL-041,Crenshaw County,65.62,106,10.25,55.37
AL-043,Cullman County,61.46,90,5.39,56.07
AL-045,Dale County,67.47,110,13.08,54.39
AL-047,Dallas County,64.05,113,11.25,52.8
AL-049,DeKalb County,65.62,106,10.18,55.44
AL-051,Elmore County,63.75,113,10.32,53.43
AL-053,Escambia County,68.65,101,8.22,60.43
AL-055,Etowah County,59.66,89,5.26,54.4
AL-057,Fayette County,70.73,115,14.49,56.24
AL-059,Franklin County,63.66,102,8.96,54.7
AL-061,Geneva County,75.51,120,18.3,57.21
AL-063,Greene County,62.55,110,9.61,52.94
AL-065,Hale County,59.11,98,5.4,53.71
AL-067,Henry County,63.35,108,10.03,53.32
AL-069,Houston County,71.86,120,17.71,54.15
AL-071,Jackson County,65.7,112,10.94,54.76
AL-073,Jefferson County,61.42,95,5.93,55.49
AL-075,Lamar County,64.52,104,9.57,54.95
AL-077,Lauderdale County,64.15,112,10.16,53.99
AL-079,Lawrence County,63.83,104,10.42,53.41
AL-081,Lee County,62.42,109,10.14,52.28
AL-083,Limestone County,64.89,110,11.16,53.73
AL-085,Lowndes County,62.54,113,10.18,52.36
AL-087,Macon County,59.85,104,8.13,51.72
AL-089,Madison County,64.86,105,10.49,54.37
AL-091,Marengo County,54.31,72,0.13,54.18
AL-093,Marion County,65.36,104,9.77,55.59
AL-095,Marshall County,59.94,93,5.56,54.38
AL-097,Mobile County,70.35,98,7.87,62.48
AL-099,Monroe County,65.08,103,7.84,57.24
AL-101,Montgomery County,62.88,113,10.77,52.11
AL-103,Morgan County,61.76,94,7.8,53.96
AL-105,Perry County,59.06,95,5.5,53.56
AL-107,Pickens County,61.97,103,8.59,53.38
AL-109,Pike County,63.31,105,8.94,54.37
AL-111,Randolph County,66.1,115,11.46,54.64
AL-113,Russell County,57.84,103,8,49.84
AL-115,St. Clair County,59.98,90,4.92,55.06
AL-117,Shelby County,64.74,112,9.91,54.83
AL-119,Sumter County,58.75,87,4.65,54.1
AL-121,Talladega County,62.32,106,8.67,53.65
AL-123,Tallapoosa County,62.33,106,8.11,54.22
AL-125,Tuscaloosa County,64.18,106,8.79,55.39
AL-127,Walker County,60.93,84,4.43,56.5
AL-129,Washington County,68.69,103,9.01,59.68
AL-131,Wilcox County,59.67,94,5.42,54.25
AL-133,Winston County,65.03,100,8.61,56.42
AZ-001,Apache County,11,30,-2.45,13.45
AZ-003,Cochise County,15.59,83,0.96,14.63
AZ-005,Coconino County,12.32,52,-1.27,13.59
AZ-007,Gila County,17.58,38,-3.14,20.72
AZ-009,Graham County,16.04,81,0.8,15.24
AZ-011,Greenlee County,16.5,67,-0.27,16.77
AZ-012,La Paz County,5.25,52,-0.71,5.96
AZ-013,Maricopa County,9.17,73,-0.09,9.26
AZ-015,Mohave County,8.92,43,-1.65,10.57
AZ-017,Navajo County,10.51,37,-1.83,12.34
AZ-019,Pima County,13.67,96,1.17,12.5
AZ-021,Pinal County,12.43,79,-0.09,12.52
AZ-023,Santa Cruz County,19.76,84,1.33,18.43
AZ-025,Yavapai County,14.43,48,-1.84,16.27
AZ-027,Yuma County,4.48,62,-0.4,4.88
AR-001,Arkansas County,56.16,93,5.13,51.03
AR-003,Ashley County,67.49,108,14.36,53.13
AR-005,Baxter County,52.13,104,8.75,43.38
AR-007,Benton County,45.61,70,0.31,45.3
AR-009,Boone County,51.78,108,8.13,43.65
AR-011,Bradley County,71.27,118,19.2,52.07
AR-013,Calhoun County,74.47,123,22.75,51.72
AR-015,Carroll County,50.94,101,6.27,44.67
AR-017,Chicot County,68.95,113,15.93,53.02
AR-019,Clark County,70.3,119,18.66,51.64
AR-021,Clay County,55.2,102,7.45,47.75
AR-023,Cleburne County,62.41,113,12.43,49.98
AR-025,Cleveland County,75.19,123,23.58,51.61
AR-027,Columbia County,67.42,115,16.16,51.26
AR-029,Conway County,63.31,115,14.31,49
AR-031,Craighead County,68.39,121,19.93,48.46
AR-033,Crawford County,56,105,8.3,47.7
AR-035,Crittenden County,63.38,111,13.45,49.93
AR-037,Cross County,70.1,121,19.77,50.33
AR-039,Dallas County,75.34,123,23.97,51.37
AR-041,Desha County,69.29,120,17.77,51.52
AR-043,Drew County,68.69,114,16.02,52.67
AR-045,Faulkner County,69.07,120,18.79,50.28
AR-047,Franklin County,60.07,110,11.99,48.08
AR-049,Fulton County,50.47,91,5.25,45.22
AR-051,Garland County,69.99,117,17.38,52.61
AR-053,Grant County,76.79,122,25.28,51.51
AR-055,Greene County,62.53,116,14.82,47.71
AR-057,Hempstead County,68.1,119,17.41,50.69
AR-059,Hot Spring County,72.26,120,19.89,52.37
AR-061,Howard County,71.07,118,19.02,52.05
AR-063,Independence County,61.15,115,12.82,48.33
AR-065,Izard County,53.44,101,7.72,45.72
AR-067,Jackson County,62.81,117,14.13,48.68
AR-069,Jefferson County,72.06,122,20.86,51.2
AR-071,Johnson County,63.03,112,13.62,49.41
AR-073,Lafayette County,64.21,114,14.2,50.01
AR-075,Lawrence County,61.05,116,13.64,47.41
AR-077,Lee County,63.74,113,12.7,51.04
AR-079,Lincoln County,70.68,121,18.41,52.27
AR-081,Little River County,64.65,119,15.86,48.79
AR-083,Logan County,62,114,15.21,46.79
AR-085,Lonoke County,71.72,123,21.65,50.07
AR-087,Madison County,55.48,104,7.83,47.65
AR-089,Marion County,50.15,102,7.2,42.95
AR-091,Miller County,62.57,115,13.51,49.06
AR-093,Mississippi County,67.61,122,19.11,48.5
AR-095,Monroe County,55.29,85,4.75,50.54
AR-097,Montgomery County,70.62,117,18.15,52.47
AR-099,Nevada County,67.47,118,16.29,51.18
AR-101,Newton County,58.16,108,9.97,48.19
AR-103,Ouachita County,70.79,119,19.34,51.45
AR-105,Perry County,67.6,121,18.63,48.97
AR-107,Phillips County,61.67,107,10.02,51.65
AR-109,Pike County,70.19,117,17.21,52.98
AR-111,Poinsett County,69.49,122,20.42,49.07
AR-113,Polk County,68.03,113,15.19,52.84
AR-115,Pope County,61.74,112,12.4,49.34
AR-117,Prairie County,60.41,109,10.33,50.08
AR-119,Pulaski County,74.58,123,23.88,50.7
AR-121,Randolph County,56.29,104,9.1,47.19
AR-123,St. Francis County,66.16,117,15.3,50.86
AR-125,Saline County,74.05,122,21.9,52.15
AR-127,Scott County,67.27,120,18.92,48.35
AR-129,Searcy County,56.87,111,10.46,46.41
AR-131,Sebastian County,66.12,121,20.74,45.38
AR-133,Sevier County,69.18,118,18.5,50.68
AR-135,Sharp County,55.54,103,8.6,46.94
AR-137,Stone County,59.59,112,12.02,47.57
AR-139,Union County,68.41,114,16.11,52.3
AR-141,Van Buren County,64.15,114,13.66,50.49
AR-143,Washington County,49.22,79,2.13,47.09
AR-145,White County,68.15,121,17.96,50.19
AR-147,Woodruff County,62.22,112,12.34,49.88
AR-149,Yell County,64.8,115,16.58,48.22
CA-001,Alameda County,16.57,50,-2.18,18.75
CA-003,Alpine County,32.2,50,-3.94,36.14
CA-005,Amador County,34.04,62,-1.19,35.23
CA-007,Butte County,34.51,31,-9.9,44.41
CA-009,Calaveras County,32.63,61,-1.64,34.27
CA-011,Colusa County,18.08,36,-3.92,22
CA-013,Contra Costa County,17.52,61,-0.97,18.49
CA-015,Del Norte County,54.46,10,-25.53,79.99
CA-017,El Dorado County,40.29,55,-4.35,44.64
CA-019,Fresno County,16.87,50,-2.73,19.6
CA-021,Glenn County,18.95,26,-6.93,25.88
CA-023,Humboldt County,48.62,21,-14.77,63.39
CA-025,Imperial County,2.07,31,-1.31,3.38
CA-027,Inyo County,4.52,37,-1.72,6.24
CA-029,Kern County,7.03,39,-2.02,9.05
CA-031,Kings County,5.61,38,-2,7.61
CA-033,Lake County,34.37,32,-9.09,43.46
CA-035,Lassen County,18.88,52,-1.52,20.4
CA-037,Los Angeles County,10.79,40,-4.77,15.56
CA-039,Madera County,20.72,56,-2.4,23.12
CA-041,Marin County,30.49,44,-4.99,35.48
CA-043,Mariposa County,30.17,59,-2.64,32.81
CA-045,Mendocino County,41.72,31,-9.89,51.61
CA-047,Merced County,10.5,61,-0.77,11.27
